Episode 1, Score: 13.4497, Steps: 16819, Episode Time: 0h 3m 22.014121532440186s
Episode 2, Score: 15.8557, Steps: 16819, Episode Time: 0h 3m 10.871530771255493s
Episode 3, Score: -10.7307, Steps: 16819, Episode Time: 0h 3m 5.401534080505371s
Episode 4, Score: 104.719, Steps: 16819, Episode Time: 0h 3m 5.201263427734375s
Episode 5, Score: 32.2322, Steps: 16819, Episode Time: 0h 3m 8.36134123802185s
Episode 6, Score: 35.9036, Steps: 16819, Episode Time: 0h 3m 9.594159841537476s
Episode 7, Score: 109.665, Steps: 16819, Episode Time: 0h 3m 8.759560346603394s
Episode 8, Score: 111.763, Steps: 16819, Episode Time: 0h 3m 14.076220035552979s
Episode 9, Score: 119.176, Steps: 16819, Episode Time: 0h 3m 7.715198278427124s
Episode 10, Score: 111.324, Steps: 16819, Episode Time: 0h 3m 11.9435555934906s
Episode 11, Score: 704.423, Steps: 16819, Episode Time: 0h 3m 17.201781749725342s
Episode 12, Score: 479.365, Steps: 16819, Episode Time: 0h 3m 16.389719009399414s
Episode 13, Score: 297.092, Steps: 16819, Episode Time: 0h 3m 17.764004468917847s
Episode 14, Score: 652.694, Steps: 16819, Episode Time: 0h 3m 8.778644323348999s
Episode 15, Score: 486.498, Steps: 16819, Episode Time: 0h 3m 11.045634031295776s
Episode 16, Score: 445.784, Steps: 16819, Episode Time: 0h 3m 12.0124831199646s
Episode 17, Score: 280.488, Steps: 16819, Episode Time: 0h 3m 14.701512098312378s
Episode 18, Score: 292.262, Steps: 16819, Episode Time: 0h 3m 12.865849018096924s
Episode 19, Score: 209.09, Steps: 16819, Episode Time: 0h 3m 18.700023889541626s
Episode 20, Score: 165.492, Steps: 16819, Episode Time: 0h 3m 15.555166959762573s
Episode 21, Score: 289.91, Steps: 16819, Episode Time: 0h 3m 10.984147787094116s
Episode 22, Score: 289.438, Steps: 16819, Episode Time: 0h 3m 4.61958909034729s
Episode 23, Score: 657.047, Steps: 16819, Episode Time: 0h 3m 5.697338581085205s
Episode 24, Score: 710.963, Steps: 10260, Episode Time: 0h 1m 54.45379114151001s
Episode 25, Score: 579.79, Steps: 10260, Episode Time: 0h 2m 4.491757392883301s
Episode 26, Score: 475.383, Steps: 12060, Episode Time: 0h 2m 33.07637810707092s
Episode 27, Score: 2705.93, Steps: 6360, Episode Time: 0h 1m 14.177981615066528s
Episode 28, Score: 493.843, Steps: 6860, Episode Time: 0h 1m 31.412668704986572s
Episode 29, Score: 708.163, Steps: 16819, Episode Time: 0h 3m 26.87825870513916s
Episode 30, Score: 202.528, Steps: 16819, Episode Time: 0h 3m 31.165207624435425s
Episode 31, Score: 2170.97, Steps: 6560, Episode Time: 0h 1m 24.822567462921143s
Episode 32, Score: 2694.54, Steps: 6560, Episode Time: 0h 1m 19.295862197875977s
Episode 33, Score: 533.585, Steps: 16819, Episode Time: 0h 3m 27.78857183456421s
