Episode 72, Score: 712.32, Steps: 16819, Episode Time: 0h 3m 3.7842094898223877s
Episode 73, Score: 488.602, Steps: 16819, Episode Time: 0h 3m 1.6602938175201416s
Episode 74, Score: 233.576, Steps: 16819, Episode Time: 0h 3m 2.1215567588806152s
Episode 75, Score: 163.898, Steps: 16819, Episode Time: 0h 3m 4.694175958633423s
Episode 76, Score: 1506.9, Steps: 16819, Episode Time: 0h 3m 1.6156396865844727s
Episode 77, Score: 703.877, Steps: 6160, Episode Time: 0h 1m 6.423456907272339s
Episode 78, Score: 679.879, Steps: 6860, Episode Time: 0h 1m 13.411535024642944s
Episode 79, Score: 1389.31, Steps: 16819, Episode Time: 0h 2m 56.20489740371704s
Episode 80, Score: 2253.73, Steps: 5696, Episode Time: 0h 1m 1.8395130634307861s
Episode 81, Score: 1400.58, Steps: 16819, Episode Time: 0h 2m 57.17279124259949s
Episode 82, Score: 1847.21, Steps: 16819, Episode Time: 0h 2m 57.49525690078735s
Episode 83, Score: 478.816, Steps: 16819, Episode Time: 0h 2m 59.75995349884033s
Episode 84, Score: 485.359, Steps: 5605, Episode Time: 0h 0m 59.714343309402466s
Episode 85, Score: 484.977, Steps: 16819, Episode Time: 0h 2m 58.9301917552948s
Episode 86, Score: 484.781, Steps: 16819, Episode Time: 0h 2m 57.184781312942505s
Episode 87, Score: 483.419, Steps: 16819, Episode Time: 0h 2m 57.39654278755188s
Episode 88, Score: 577.832, Steps: 5878, Episode Time: 0h 1m 3.220919370651245s
Episode 89, Score: 483.732, Steps: 16819, Episode Time: 0h 2m 55.89130258560181s
Episode 90, Score: 483.842, Steps: 16819, Episode Time: 0h 2m 54.43747639656067s
Episode 91, Score: 648.629, Steps: 6260, Episode Time: 0h 1m 7.150296688079834s
Episode 92, Score: 1695.09, Steps: 5696, Episode Time: 0h 1m 9.62303113937378s
Episode 93, Score: 478.177, Steps: 16819, Episode Time: 0h 3m 18.211313486099243s
Episode 94, Score: 477.52, Steps: 16819, Episode Time: 0h 3m 24.484142303466797s
Episode 95, Score: 1253.63, Steps: 16819, Episode Time: 0h 3m 18.263779163360596s
Episode 96, Score: 477.262, Steps: 16819, Episode Time: 0h 3m 8.42124891281128s
Episode 97, Score: 1129.32, Steps: 16819, Episode Time: 0h 3m 8.855071067810059s
Episode 98, Score: 1636.15, Steps: 16819, Episode Time: 0h 3m 0.6565687656402588s
Episode 99, Score: 2730.75, Steps: 5878, Episode Time: 0h 1m 3.6276557445526123s
Episode 100, Score: 2729.82, Steps: 6260, Episode Time: 0h 1m 7.342513561248779s
Episode 101, Score: 2707.32, Steps: 5969, Episode Time: 0h 1m 4.4876251220703125s
Episode 102, Score: 1084.48, Steps: 16819, Episode Time: 0h 2m 57.97269654273987s
Episode 103, Score: 710.273, Steps: 16819, Episode Time: 0h 2m 58.22895574569702s
Episode 104, Score: 677.386, Steps: 16819, Episode Time: 0h 2m 59.725791931152344s
Episode 105, Score: 712.578, Steps: 16819, Episode Time: 0h 3m 19.674503326416016s
Episode 106, Score: 702.38, Steps: 16819, Episode Time: 0h 3m 14.14266586303711s
Episode 107, Score: 707.826, Steps: 16819, Episode Time: 0h 3m 13.816525220870972s
Episode 108, Score: 124.626, Steps: 16819, Episode Time: 0h 3m 4.993169784545898s
Episode 109, Score: 301.836, Steps: 16819, Episode Time: 0h 3m 0.46254873275756836s
Episode 110, Score: 257.336, Steps: 16819, Episode Time: 0h 2m 59.7548611164093s
Episode 111, Score: 231.6, Steps: 16819, Episode Time: 0h 2m 59.496132373809814s
Episode 112, Score: 2441.12, Steps: 5969, Episode Time: 0h 1m 7.011924982070923s
Episode 113, Score: 72.2759, Steps: 16819, Episode Time: 0h 2m 57.90826153755188s
Episode 114, Score: 309.844, Steps: 16819, Episode Time: 0h 2m 57.68126559257507s
Episode 115, Score: 575.296, Steps: 16819, Episode Time: 0h 2m 57.44260787963867s
Episode 116, Score: 476.339, Steps: 16819, Episode Time: 0h 3m 2.5319249629974365s
Episode 117, Score: 711.877, Steps: 6560, Episode Time: 0h 1m 20.88340663909912s
Episode 118, Score: 571.787, Steps: 16950, Episode Time: 0h 3m 30.33421516418457s
Episode 119, Score: 712.428, Steps: 5969, Episode Time: 0h 1m 11.48108434677124s
Episode 120, Score: 708.297, Steps: 6160, Episode Time: 0h 1m 19.43486261367798s
Episode 121, Score: 490.02, Steps: 8460, Episode Time: 0h 1m 35.85059928894043s
Episode 122, Score: 428.923, Steps: 16819, Episode Time: 0h 3m 8.205464124679565s
Episode 123, Score: 712.075, Steps: 6260, Episode Time: 0h 1m 9.975491523742676s
Episode 124, Score: 483.571, Steps: 6760, Episode Time: 0h 1m 15.335278987884521s
Episode 125, Score: 491.604, Steps: 6060, Episode Time: 0h 1m 5.892791509628296s
Episode 126, Score: 474.741, Steps: 6560, Episode Time: 0h 1m 12.574590921401978s
Episode 127, Score: 2711.28, Steps: 6060, Episode Time: 0h 1m 6.772055387496948s
Episode 128, Score: 2708.6, Steps: 6160, Episode Time: 0h 1m 8.6987464427948s
Episode 129, Score: 2729.38, Steps: 5969, Episode Time: 0h 1m 4.474095106124878s
Episode 130, Score: 477.184, Steps: 10760, Episode Time: 0h 1m 57.904296875s
