Episode 1, Score: 47.0, Steps: 818, Episode Time: 0h 0m 10.635111331939697s
Episode 2, Score: 53.0, Steps: 929, Episode Time: 0h 0m 12.547290563583374s
Episode 3, Score: 67.0, Steps: 1341, Episode Time: 0h 0m 17.348862648010254s
Episode 4, Score: 57.0, Steps: 837, Episode Time: 0h 0m 11.4707670211792s
Episode 5, Score: 78.0, Steps: 1554, Episode Time: 0h 0m 19.766702890396118s
Episode 6, Score: 42.0, Steps: 1533, Episode Time: 0h 0m 19.777875423431396s
Episode 7, Score: 62.0, Steps: 987, Episode Time: 0h 0m 13.064831018447876s
Episode 8, Score: 74.0, Steps: 567, Episode Time: 0h 0m 7.983009576797485s
Episode 9, Score: 52.0, Steps: 960, Episode Time: 0h 0m 12.515077829360962s
Episode 10, Score: 73.0, Steps: 587, Episode Time: 0h 0m 8.210163354873657s
Episode 11, Score: 87.0, Steps: 420, Episode Time: 0h 0m 6.913971662521362s
Episode 12, Score: 79.0, Steps: 505, Episode Time: 0h 0m 7.282898664474487s
Episode 13, Score: 79.0, Steps: 489, Episode Time: 0h 0m 6.901128768920898s
Episode 14, Score: 54.0, Steps: 625, Episode Time: 0h 0m 8.986714363098145s
Episode 15, Score: 100.0, Steps: 476, Episode Time: 0h 0m 6.533831834793091s
Episode 16, Score: 61.0, Steps: 1345, Episode Time: 0h 0m 18.05051565170288s
Episode 17, Score: 65.0, Steps: 1398, Episode Time: 0h 0m 18.62821388244629s
Episode 18, Score: 68.0, Steps: 861, Episode Time: 0h 0m 11.470495700836182s
Episode 19, Score: 61.0, Steps: 582, Episode Time: 0h 0m 8.19641661643982s
Episode 20, Score: 75.0, Steps: 420, Episode Time: 0h 0m 5.956417798995972s
Episode 21, Score: 83.0, Steps: 520, Episode Time: 0h 0m 7.705845355987549s
Episode 22, Score: 84.0, Steps: 410, Episode Time: 0h 0m 5.842516899108887s
Episode 23, Score: 67.0, Steps: 652, Episode Time: 0h 0m 9.063105344772339s
Episode 24, Score: 63.0, Steps: 637, Episode Time: 0h 0m 8.911566019058228s
Episode 25, Score: 82.0, Steps: 429, Episode Time: 0h 0m 5.9886462688446045s
Episode 26, Score: 81.0, Steps: 400, Episode Time: 0h 0m 5.883351564407349s
Episode 27, Score: 64.0, Steps: 785, Episode Time: 0h 0m 10.690056562423706s
Episode 28, Score: 64.0, Steps: 1007, Episode Time: 0h 0m 13.88271427154541s
Episode 29, Score: 80.0, Steps: 434, Episode Time: 0h 0m 6.389841794967651s
Episode 30, Score: 81.0, Steps: 427, Episode Time: 0h 0m 5.943361520767212s
Episode 31, Score: 77.0, Steps: 841, Episode Time: 0h 0m 11.332609415054321s
Episode 32, Score: 85.0, Steps: 365, Episode Time: 0h 0m 5.190948247909546s
Episode 33, Score: 84.0, Steps: 464, Episode Time: 0h 0m 6.551842212677002s
Episode 34, Score: 102.0, Steps: 446, Episode Time: 0h 0m 6.757963180541992s
Episode 35, Score: 72.0, Steps: 544, Episode Time: 0h 0m 7.329396963119507s
Episode 36, Score: 95.0, Steps: 547, Episode Time: 0h 0m 7.770047903060913s
Episode 37, Score: 61.0, Steps: 521, Episode Time: 0h 0m 7.267408132553101s
Episode 38, Score: 83.0, Steps: 399, Episode Time: 0h 0m 6.033722400665283s
Episode 39, Score: 87.0, Steps: 357, Episode Time: 0h 0m 5.646240711212158s
Episode 40, Score: 69.0, Steps: 552, Episode Time: 0h 0m 7.809946060180664s
