Episode 72, Score: 11.772, Steps: 16819, Episode Time: 0h 2m 54.415220499038696s
Episode 73, Score: 16.0808, Steps: 16819, Episode Time: 0h 3m 0.8764503002166748s
Episode 74, Score: 8.28052, Steps: 16823, Episode Time: 0h 3m 4.8538360595703125s
Episode 75, Score: 11.2275, Steps: 16832, Episode Time: 0h 3m 11.73830795288086s
Episode 76, Score: 152.424, Steps: 16819, Episode Time: 0h 3m 11.889892101287842s
Episode 77, Score: 9.62671, Steps: 16819, Episode Time: 0h 3m 12.54420804977417s
Episode 78, Score: 8.2085, Steps: 16819, Episode Time: 0h 3m 15.748855352401733s
Episode 79, Score: 7.36475, Steps: 16819, Episode Time: 0h 3m 10.161155462265015s
Episode 80, Score: 9.45947, Steps: 16819, Episode Time: 0h 3m 11.391213178634644s
Episode 81, Score: 9.9209, Steps: 16819, Episode Time: 0h 3m 12.381969451904297s
Episode 82, Score: 10.9033, Steps: 16819, Episode Time: 0h 3m 7.07516884803772s
Episode 83, Score: 25.1611, Steps: 16819, Episode Time: 0h 3m 5.2203209400177s
Episode 84, Score: 16.877, Steps: 16819, Episode Time: 0h 3m 12.77598762512207s
Episode 85, Score: 148.257, Steps: 16819, Episode Time: 0h 3m 20.265507459640503s
Episode 86, Score: 5.01782, Steps: 16819, Episode Time: 0h 3m 0.0030889511108398438s
Episode 87, Score: 3.00781, Steps: 16819, Episode Time: 0h 3m 12.303345918655396s
Episode 88, Score: 62.8633, Steps: 16819, Episode Time: 0h 3m 10.219092845916748s
Episode 89, Score: 80.918, Steps: 16819, Episode Time: 0h 2m 57.4615752696991s
Episode 90, Score: 7.97119, Steps: 16819, Episode Time: 0h 2m 56.53584337234497s
Episode 91, Score: 8.01978, Steps: 16819, Episode Time: 0h 2m 58.33413243293762s
Episode 92, Score: 8.69849, Steps: 16819, Episode Time: 0h 2m 56.18154287338257s
Episode 93, Score: 8.12085, Steps: 16819, Episode Time: 0h 3m 2.8590714931488037s
Episode 94, Score: 9.83618, Steps: 16819, Episode Time: 0h 3m 2.5387790203094482s
Episode 95, Score: 7.34814, Steps: 16819, Episode Time: 0h 2m 59.23052000999451s
Episode 96, Score: 6.34961, Steps: 16819, Episode Time: 0h 3m 5.802405834197998s
Episode 97, Score: 148.027, Steps: 16819, Episode Time: 0h 3m 3.552652597427368s
